City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,tamanrasset,22.785,5.5228,27.95,23,14,2.06,DZ,1691455578
193,vadso,70.0744,29.7487,16.49,77,75,0.51,NO,1691455578
194,iskateley,67.6803,53.1512,7.3,90,75,3.33,RU,1691455578
195,pyapon,16.2833,95.6833,26.53,82,100,5.5,MM,1691455579
196,hilo,19.7297,-155.09,28.86,69,0,3.6,US,1691455131
197,saarijarvi,62.7049,25.254,22.19,80,0,5.13,FI,1691455579
198,male,4.1748,73.5089,27.97,83,75,4.12,MV,1691455580
199,muleba,-1.8397,31.6544,20.95,57,54,3.38,TZ,1691455580
200,vila velha,-20.3297,-40.2925,22.97,86,20,4.63,BR,1691455494
201,international falls,48.6011,-93.411,24.1,46,0,3.6,US,1691455581
202,inari,68.906,27.0288,12.11,91,10,1.5,FI,1691455581
203,san andres,12.5847,-81.7006,30.01,79,20,5.14,CO,1691455581
204,yamada,39.4667,141.95,28.84,71,64,5.59,JP,1691455581
205,codrington,-38.2667,141.9667,11.56,74,0,3.23,AU,1691455581
206,sault ste. marie,46.5168,-84.3333,22.31,68,0,7.72,CA,1691454800
207,le port,-20.9373,55.2919,21.0,92,33,3.82,RE,1691455582
208,adrar,20.5022,-10.0711,31.07,19,2,4.56,MR,1691455582
209,aginskoye,51.1,114.53,16.6,68,100,1.22,RU,1691455582
210,carnarvon,-24.8667,113.6333,21.34,76,79,0.93,AU,1691455583
211,el obeid,13.1842,30.2167,25.94,68,23,5.01,SD,1691455583
212,vorgashor,67.5833,63.95,11.37,87,100,4.37,RU,1691455341
213,olovyannaya,50.95,115.5667,21.89,43,85,2.01,RU,1691455583
214,tindouf,27.6711,-8.1474,35.25,26,40,4.12,DZ,1691455584
215,zhezqazghan,47.7833,67.7667,18.32,88,75,4.0,KZ,1691455584
216,college,64.8569,-147.8028,21.99,60,75,2.06,US,1691455584
217,strathmore,51.0501,-113.3852,25.67,32,72,4.02,CA,1691455535
218,znamenka,52.4167,41.4311,20.21,57,54,3.98,RU,1691455585
219,kahramanmaras,38.0,37.0,20.8,66,0,1.63,TR,1691455585
220,port elizabeth,-33.918,25.5701,9.16,93,20,1.54,ZA,1691455585
221,flin flon,54.7682,-101.865,16.38,59,100,3.35,CA,1691455585
222,fort madison,40.6298,-91.3151,24.38,73,66,2.06,US,1691455585
223,isafjordur,66.0755,-23.124,11.02,59,52,0.9,IS,1691455586
224,jijiga,9.35,42.8,16.08,79,44,7.07,ET,1691455586
225,frolovo,49.7713,43.6622,21.88,41,0,4.93,RU,1691455586
226,murmashi,68.8154,32.8115,14.23,71,40,2.0,RU,1691455586
227,kamaishi,39.2667,141.8833,28.09,76,42,4.49,JP,1691455426
228,ormara,25.2088,64.6357,27.39,82,100,6.39,PK,1691455587
229,kabinda,-6.1333,24.4833,21.52,44,53,1.85,CD,1691455587
230,chonchi,-42.6128,-73.8092,10.07,86,100,1.3,CL,1691455587
231,catumbela,-12.4314,13.5472,19.48,85,30,1.03,AO,1691455587
232,pocahontas,36.2615,-90.9712,28.93,62,0,3.09,US,1691455588
233,villa ojo de agua,-29.5,-63.6938,10.83,29,89,7.46,AR,1691455588
234,tazovsky,67.4667,78.7,14.72,72,2,1.98,RU,1691455588
235,akureyri,65.6835,-18.0878,8.96,71,0,2.06,IS,1691455374
236,porto novo,6.4965,2.6036,24.38,87,61,3.96,BJ,1691455351
237,urumqi,43.801,87.6005,22.53,53,100,4.0,CN,1691455589
238,ribas do rio pardo,-20.4431,-53.7592,24.9,36,0,0.66,BR,1691455188
239,luis correia,-2.8792,-41.6669,26.01,82,70,7.75,BR,1691455589
240,mithi,24.7318,69.7981,28.11,73,100,10.19,PK,1691455589
241,leava,-14.3,-178.1667,27.55,74,6,2.21,WF,1691455338
242,voss,60.623,6.4229,11.97,96,100,1.74,NO,1691455590
243,pangkalanbuun,-2.6833,111.6167,27.26,71,77,2.79,ID,1691455590
244,souillac,-20.5167,57.5167,22.21,68,75,5.14,MU,1691455590
245,cloverdale,38.8055,-123.0172,37.39,26,1,2.24,US,1691455565
246,malvan,16.0667,73.4667,26.31,85,99,6.01,IN,1691455591
247,escarcega,18.6089,-90.7454,28.55,66,68,1.49,MX,1691455591
248,vydrino,51.485,104.8461,14.02,96,100,3.46,RU,1691455591
249,guacui,-20.7756,-41.6794,17.76,53,0,1.6,BR,1691455591
250,floro,61.5996,5.0328,11.09,87,100,10.8,NO,1691455592
251,kodiak,57.79,-152.4072,13.73,94,100,5.66,US,1691455592
252,santana,-0.0583,-51.1817,29.1,84,40,4.12,BR,1691455592
253,khon buri,14.5254,102.2459,28.31,100,100,4.2,TH,1691455592
254,sitka,57.0531,-135.33,18.94,55,100,5.66,US,1691455593
255,geraldton,-28.7667,114.6,17.23,88,6,3.09,AU,1691455388
256,alofi,-19.0595,-169.9187,24.94,88,75,4.63,NU,1691455593
257,kyongsong,41.5878,129.6061,19.28,96,100,3.01,KP,1691455593
258,san nicolas de bari,22.7844,-81.9133,28.51,78,15,0.53,CU,1691455594
259,hammerfest,70.6634,23.6821,17.25,82,100,0.51,NO,1691455594
260,severo-yeniseyskiy,60.3725,93.0408,13.96,72,91,2.13,RU,1691455367
261,klyuchi,52.2667,79.1667,18.88,44,0,1.16,RU,1691455594
262,khorixas,-20.3667,14.9667,17.65,27,0,3.44,NA,1691455595
263,sinabang,2.4803,96.3801,24.38,92,100,2.25,ID,1691455595
264,midvagur,62.0511,-7.1939,7.46,93,20,0.51,FO,1691455595
265,polyarnyy,69.1989,33.4478,12.82,74,90,5.29,RU,1691455338
266,conceicao da barra,-18.5933,-39.7322,22.86,82,0,4.65,BR,1691455596
267,val-d'or,48.1002,-77.7828,15.05,82,100,5.14,CA,1691455596
268,meadow lake,34.8014,-106.5436,23.95,57,97,4.28,US,1691455596
269,ploneour-lanvern,47.9,-4.2833,14.18,94,0,2.06,FR,1691455596
270,colonia,50.9333,6.95,14.98,78,0,2.57,DE,1691455322
271,tsiombe,-25.3,45.4833,18.04,79,1,1.74,MG,1691455597
272,shemgang,27.2169,90.6579,18.24,97,100,0.79,BT,1691455597
273,marsabit,2.3284,37.9899,15.53,75,4,8.32,KE,1691455598
274,thunder bay,48.4001,-89.3168,25.99,41,40,4.63,CA,1691455598
275,pangody,65.85,74.4859,18.64,63,2,3.54,RU,1691455403
276,san luis de la loma,17.2706,-100.8939,28.78,79,3,2.95,MX,1691455372
277,essaouira,31.5125,-9.77,21.72,96,20,1.03,MA,1691455598
278,itaituba,-4.2761,-55.9836,29.12,43,100,1.02,BR,1691455598
279,prince rupert,54.3161,-130.3201,15.05,94,100,12.86,CA,1691455325
280,moab,38.5733,-109.5498,37.03,7,6,6.42,US,1691455599
281,kirtland,36.7342,-108.3598,35.61,6,0,8.75,US,1691455373
282,kailua-kona,19.6406,-155.9956,32.55,61,0,5.14,US,1691455470
283,pahrump,36.2083,-115.9839,39.13,4,0,4.47,US,1691455599
284,port blair,11.6667,92.75,28.02,83,40,4.12,IN,1691455600
285,filingue,14.3521,3.3168,26.29,76,100,2.78,NE,1691455600
286,guajara mirim,-10.7828,-65.3394,27.79,44,3,1.13,BR,1691455600
287,prainha,-1.8,-53.48,28.12,56,91,1.27,BR,1691455600
288,nelson bay,-32.7167,152.15,15.56,92,40,3.58,AU,1691455379
289,isangel,-19.55,169.2667,25.06,69,75,2.57,VU,1691455601
290,burao,9.5221,45.5336,21.27,61,9,10.99,SO,1691455601
291,palikir - national government center,6.9248,158.1611,30.41,74,100,2.06,FM,1691455400
292,sinop,41.7711,34.8709,18.33,74,0,1.01,TR,1691455601
293,jaguaquara,-13.5306,-39.9708,18.41,97,94,0.99,BR,1691455602
294,galle,6.0367,80.217,26.29,86,98,5.46,LK,1691455602
295,ternitz,47.7156,16.0357,13.93,78,21,2.25,AT,1691455602
296,hanzhong,33.0728,107.0303,25.82,88,52,1.35,CN,1691455602
297,lansdowne,39.9382,-75.2719,21.6,94,100,0.89,US,1691455603
298,labrador city,52.9463,-66.9114,16.95,77,40,1.03,CA,1691455424
299,cam ranh,11.9214,109.1591,31.98,58,20,0.51,VN,1691455603
300,tilcara,-23.5776,-65.3509,4.35,74,86,0.59,AR,1691455603
301,viqueque,-8.8673,126.3658,26.6,59,13,3.57,TL,1691455603
302,menongue,-14.6585,17.691,11.81,53,0,1.63,AO,1691455604
303,chontalpa,17.7,-93.5167,26.22,89,23,2.94,MX,1691455604
304,phon charoen,18.0333,103.1667,26.15,95,100,2.39,TH,1691455604
305,east ballina,-28.8667,153.5833,18.22,61,67,4.34,AU,1691455426
306,paveh,35.0434,46.3565,23.67,31,0,2.96,IR,1691455605
307,dalandzadgad,43.5708,104.425,25.3,32,74,6.11,MN,1691455606
308,diamantino,-14.4086,-56.4461,26.79,39,25,1.9,BR,1691455606
309,bayganin,48.6947,55.8742,22.35,55,7,2.46,KZ,1691455607
310,fada,9.5667,8.3,18.92,98,41,0.65,NG,1691455607
311,rongelap,11.1635,166.8941,28.64,75,100,7.24,MH,1691455607
312,necochea,-38.5473,-58.7368,3.52,77,12,3.83,AR,1691455607
313,balykshi,47.0667,51.8667,22.0,46,0,2.0,KZ,1691455399
314,general villegas,-35.0328,-63.0125,5.18,52,12,3.91,AR,1691455608
315,birao,10.2849,22.7882,21.72,98,100,2.06,CF,1691455608
316,papao,-17.75,-149.55,28.82,78,100,5.36,PF,1691455608
317,east london,-33.0153,27.9116,16.93,86,2,4.98,ZA,1691455609
318,boa vista,2.8197,-60.6733,29.99,66,0,1.03,BR,1691455389
319,susuman,62.7833,148.1667,10.18,40,71,3.82,RU,1691455468
320,tengrela,10.4869,-6.4097,21.72,96,100,1.67,CI,1691455609
321,luderitz,-26.6481,15.1594,15.43,66,0,6.48,NA,1691455610
322,candido mendes,-1.4467,-45.7167,24.12,92,37,1.45,BR,1691455610
323,taoudenni,22.6783,-3.9836,38.21,21,0,3.53,ML,1691455610
324,kavaratti,10.5669,72.642,27.71,76,100,8.72,IN,1691455610
